id;category_id;label;icon;sort_order;created_at;updated_at
bf22650c-d60a-44b5-877b-cbdb30c729e4;d154e939-73e3-44dc-97ed-e1961ad5ebc2;Água;💧;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
e63c2b36-498d-4199-95ac-1d644d1a8911;d154e939-73e3-44dc-97ed-e1961ad5ebc2;Gás;🔥;5;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
88261497-487b-4465-b090-83f4144422cf;d154e939-73e3-44dc-97ed-e1961ad5ebc2;Internet/Telefone;📶;6;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
192f873b-8b08-4d1f-8dbc-2b0b511ae3d6;d154e939-73e3-44dc-97ed-e1961ad5ebc2;IPTU;🏛️;7;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
3fbb2e8f-2fcf-49f2-b58a-6fef2149b8a0;d154e939-73e3-44dc-97ed-e1961ad5ebc2;Seguro Residencial;🛡️;8;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
e06febd8-09f9-4493-8a55-25b284ec383e;d154e939-73e3-44dc-97ed-e1961ad5ebc2;Outros;🏠;9;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
6718dc2d-293f-4be3-87ea-ed9eac928966;e72c5513-72bc-45d3-8569-6021333301cc;Farmácia;💊;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
5c9d98d4-7a73-4c06-963a-1072c03d06ef;e72c5513-72bc-45d3-8569-6021333301cc;Consulta Médica;🩺;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
f8a9f38d-7876-45d3-9180-a3f751e4a639;e72c5513-72bc-45d3-8569-6021333301cc;Dentista;🦷;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
607cbbc9-6203-4b60-be9b-8e2df1f82f08;e72c5513-72bc-45d3-8569-6021333301cc;Exames;🔬;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
75b371cf-e5da-4318-9fd1-de22b42f96c7;e72c5513-72bc-45d3-8569-6021333301cc;Plano de Saúde;🏥;5;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
9b9d0266-1fdc-4e63-bad3-3a4dd056630e;e72c5513-72bc-45d3-8569-6021333301cc;Ótica;👓;6;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
13be9ead-83c5-407c-9de4-03aa44b64fc9;e72c5513-72bc-45d3-8569-6021333301cc;Outros;💊;7;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
6ce8a717-0197-4eb9-869f-6814e53258fe;f59b5082-cce4-46f1-9340-99f50255b29a;Mensalidade;🎓;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
6c7c10a2-0b47-4245-876d-42d0c893e5c7;f59b5082-cce4-46f1-9340-99f50255b29a;Cursos Online;💻;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
439d2dbc-6f14-4a15-9aad-ecbe5fdecc53;f59b5082-cce4-46f1-9340-99f50255b29a;Livros;📖;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
95c2bd81-8dd0-4288-8022-5492839b6527;f59b5082-cce4-46f1-9340-99f50255b29a;Material Escolar;✏️;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
2cda967e-4d9b-420d-b60b-3c9525aca811;f59b5082-cce4-46f1-9340-99f50255b29a;Outros;📚;5;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
29f48656-2151-4621-abf3-6745d9521f0c;e4e889ff-dc2a-49fd-b705-44d0ef54ef1e;Cinema/Teatro;🎬;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
2cd762e6-62ed-4c19-b41d-88d4dbb94d46;e4e889ff-dc2a-49fd-b705-44d0ef54ef1e;Viagem;✈️;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
403c1da2-05ac-4dfb-b036-6464a6efc2da;e4e889ff-dc2a-49fd-b705-44d0ef54ef1e;Jogos;🎮;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
e62073d9-b38a-494f-a6e3-32db8f986973;e4e889ff-dc2a-49fd-b705-44d0ef54ef1e;Parques/Eventos;🎡;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
145972f6-3a7c-483f-bef4-6b3ae8a6a13f;e4e889ff-dc2a-49fd-b705-44d0ef54ef1e;Outros;🎮;5;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
6a050278-091b-474f-a33f-7b10af66e598;9ba4e541-8c96-4b45-bf7a-3f154702a71e;Roupas/Calçados;👕;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
e56e173c-ecb1-4ebd-a2d3-c9921196bd73;9ba4e541-8c96-4b45-bf7a-3f154702a71e;Eletrônicos;📱;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
d293382e-2e90-4f7d-97e5-00e06a48bdd3;9ba4e541-8c96-4b45-bf7a-3f154702a71e;Compras Online;🛒;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
9fde760f-29fa-4db1-b213-7092e3c446fd;9ba4e541-8c96-4b45-bf7a-3f154702a71e;Casa/Decoração;🛋️;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
46999aaa-1a61-42bf-8c39-bb9233e5fb16;9ba4e541-8c96-4b45-bf7a-3f154702a71e;Outros;🛍️;5;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
a531ae47-668d-437d-a20d-a5aab6f884c9;eec12493-6158-4aaa-951c-d3de672341de;Streaming;📺;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
188c9727-d2b9-4770-baf8-9efb13736513;eec12493-6158-4aaa-951c-d3de672341de;Apps/Serviços;📱;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
fdc08576-ea7c-4971-97b3-36b60eea934d;eec12493-6158-4aaa-951c-d3de672341de;Outros;📱;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
28f3aec0-019a-4501-9e64-907f0b5f7005;a4138a3c-2dbd-4055-b75e-ca2f03caf72d;Limpeza;🧹;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
333eb928-6422-4c77-8ae5-f3137a145f05;a4138a3c-2dbd-4055-b75e-ca2f03caf72d;Manutenção;🔧;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
86613db3-7527-4b68-8cab-91228ea5613c;a4138a3c-2dbd-4055-b75e-ca2f03caf72d;Profissionais;👷;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
649429d5-034b-4e53-a6a1-469ed7d46570;a4138a3c-2dbd-4055-b75e-ca2f03caf72d;Outros;🔧;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
24bbb7f8-c6b3-44a6-be0d-9320361c8e2e;40cef507-d4aa-459c-ae5f-3b24a05b31fc;Ração/Petiscos;🦴;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
f3e6d91f-054b-49a6-9b3b-acad8c43317a;40cef507-d4aa-459c-ae5f-3b24a05b31fc;Veterinário;🏥;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
da7e01cd-9bc7-455d-8247-f2b13eb2512e;40cef507-d4aa-459c-ae5f-3b24a05b31fc;Petshop;🐾;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
9fb15aa3-a5b3-43e5-ad6b-de0aa92ce9ab;40cef507-d4aa-459c-ae5f-3b24a05b31fc;Outros;🐾;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
8810e7db-2786-4809-99b0-3e1d338272e8;70bd18de-9477-4865-8db1-58e9b8fc7c01;IR;📊;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
703ead34-f8d8-4714-965f-53414cf82d1a;70bd18de-9477-4865-8db1-58e9b8fc7c01;INSS/FGTS;🏛️;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
cfd15868-9615-472b-96d7-41dd9eb93b88;70bd18de-9477-4865-8db1-58e9b8fc7c01;Taxas Bancárias;🏦;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
e0c5bfc3-47e6-4b56-89eb-3bed9f9991dc;70bd18de-9477-4865-8db1-58e9b8fc7c01;Multas;⚠️;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
65e94d27-0fce-4611-b5d2-0c3602ed4832;70bd18de-9477-4865-8db1-58e9b8fc7c01;Outros;🏛️;5;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
8af27734-d676-46fc-bed8-9ea78ae497b3;a744b63b-1c38-4006-bae2-5ddabeab05cd;Financiamento;🏦;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
a4f59f04-da6f-4fb7-b1fa-49f32fcf292c;a744b63b-1c38-4006-bae2-5ddabeab05cd;Empréstimo;💸;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
eda787ae-9f3c-43ea-b226-a0fa8abf8bb1;a744b63b-1c38-4006-bae2-5ddabeab05cd;Consórcio;📋;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
e1cdbc5e-6bc0-44a2-80f0-4a9971f6a7c8;a744b63b-1c38-4006-bae2-5ddabeab05cd;Outros;📋;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
764210d8-0667-4ebf-b7ba-1a767b7aa99e;47ce8314-bffd-4a13-84b0-05ef8eb0c2b8;PIX;⚡;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
90fb98b0-f3d7-449a-a682-7247a4ec0f81;47ce8314-bffd-4a13-84b0-05ef8eb0c2b8;TED/DOC;🔄;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
88218876-d875-40f5-acf3-9376ab16e0b8;47ce8314-bffd-4a13-84b0-05ef8eb0c2b8;Outros;🔄;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
11c5780e-de8b-483c-b56c-f2101a9d22e6;0987a96d-3d98-4eda-ba5a-9d0993dd8e26;Salário;💼;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
9d8ad8c8-8e09-4f02-9209-79a598bc82ed;0987a96d-3d98-4eda-ba5a-9d0993dd8e26;Freelance;💻;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
95545563-ab88-4c35-a738-2c2f714723f8;0987a96d-3d98-4eda-ba5a-9d0993dd8e26;Rendimentos;📈;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
8aed0aa7-3cce-4aa3-90ae-fdcb27868b2a;0987a96d-3d98-4eda-ba5a-9d0993dd8e26;Reembolso;↩️;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
df5e8044-acac-4afb-b42c-098b3179cfd5;0987a96d-3d98-4eda-ba5a-9d0993dd8e26;Outros;💰;5;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
83e466e9-d6a9-41dd-80ed-c4cbc5049dd1;68e04a4f-f0b3-428a-9aa4-c2b075f5ddec;Outros;📄;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
408bae1a-33d9-4e86-8568-dd951c045b62;a744b63b-1c38-4006-bae2-5ddabeab05cd;Juros de Fatura;📈;5;2026-04-16 23:11:52.078865+00;2026-04-16 23:11:52.078865+00
248675f4-02e2-4fe8-ab8a-5ee3a5784299;0987a96d-3d98-4eda-ba5a-9d0993dd8e26;Estorno;↩️;6;2026-04-16 23:11:52.078865+00;2026-04-16 23:11:52.078865+00
1bbc00cc-664b-46c0-aacd-b2fa21595357;70bd18de-9477-4865-8db1-58e9b8fc7c01;IOF;🏦;6;2026-04-16 23:11:52.078865+00;2026-04-16 23:11:52.078865+00
